count,mean,std,min,25%,50%,75%,max,centrality,retention_label
40984,10.644812609798946,366.8480501518087,2.0,3.0,4.0,6.0,65089.0,raw_degree,all
37517,10.526214782631873,383.32216582019754,2.0,3.0,4.0,6.0,65089.0,raw_degree,0
3467,11.928179982693973,29.10738379430646,2.0,4.0,5.0,8.0,1081.0,raw_degree,1
40984,2.7907101809417968e-05,0.004131769515508959,0.0,0.0,0.0,4.728481211854904e-07,0.8363032040045706,betweenness,all
37517,2.8865052275038406e-05,0.004318335312605297,0.0,0.0,0.0,2.671721485145407e-07,0.8363032040045706,betweenness,0
3467,1.7540955971900326e-05,0.00011080694669547975,0.0,0.0,8.681144110643228e-10,3.2546543200448024e-06,0.0041352776439895,betweenness,1
40984,0.4989916346225984,0.005150487455059586,0.4649291898336434,0.4999041548857047,0.4999101441288174,0.499922123045588,0.9863369894099848,closeness,all
37517,0.4989503622273387,0.00523824453399863,0.4649291898336434,0.4999041548857047,0.4999101441288174,0.4999161335154434,0.9863369894099848,closeness,0
3467,0.49943825027106087,0.00405575309523948,0.4649291898336434,0.4999101441288174,0.4999161335154434,0.4999281127192562,0.504546553808948,closeness,1
40984,0.7632871594961399,0.3614170174089839,0.0,0.6666666666666666,1.0,1.0,1.0,clustering,all
37517,0.7557465037565203,0.3688336657819946,0.0,0.6666666666666666,1.0,1.0,1.0,clustering,0
3467,0.8448858850177581,0.2544823058464792,0.0,0.8,1.0,1.0,1.0,clustering,1
40984,4.285233261760687,5.120778817377522,1.0,3.0,3.0,4.0,47.0,kshell,all
37517,4.222619079350694,5.164628186167871,1.0,2.0,3.0,4.0,47.0,kshell,0
3467,4.962792039226997,4.565804058143836,1.0,3.0,4.0,5.0,47.0,kshell,1
40984,4527.133196217955,60496.20311183381,2.0,307.0,555.0,800.0,10122959.166898472,weighted_degree,all
37517,4317.569379413865,62287.9580976579,2.0,390.0,562.0,800.0,10122959.166898472,weighted_degree,0
3467,6794.859101911397,35692.512330219644,2.0,141.0,270.0,960.0,954294.0,weighted_degree,1
